cell_id,name_expansion,lineage,classification,source_ref
AVJR,Anterior Ventral Process J Right,AB alapppppa,"Neuron, synapses like AVHL/R",wormatlas_cook_2019_via_cect
AVKL,Anterior Ventral Process K Left,AB plpapapap,Ring and ventral cord interneuron,wormatlas_cook_2019_via_cect
AVKR,Anterior Ventral Process K Right,AB prpapapap,Ring and ventral cord interneuron,wormatlas_cook_2019_via_cect
AVL,Anterior Ventral Process L,AB prpappaap,Ring and ventral cord interneuron and an excitatory GABAergic motor neuron for rectal muscles. Few synapses,wormatlas_cook_2019_via_cect
AVM,Anterior Ventral Microtubule Neuron,QR.paa,"Anterior ventral microtubule cell, touch receptor",wormatlas_cook_2019_via_cect
AWAL,Amphid Wing Neuron A Left,AB plaapapaa,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",wormatlas_cook_2019_via_cect
AWAR,Amphid Wing Neuron A Right,AB praapapaa,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",wormatlas_cook_2019_via_cect
AWBL,Amphid Wing Neuron B Left,AB alpppppap,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",wormatlas_cook_2019_via_cect
AWBR,Amphid Wing Neuron B Right,AB praaappap,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",wormatlas_cook_2019_via_cect
AWCL,Amphid Wing Neuron C Left,AB plpaaaaap,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",wormatlas_cook_2019_via_cect
AWCR,Amphid Wing Neuron C Right,AB prpaaaaap,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",wormatlas_cook_2019_via_cect
BAGL,BAG-like Dendritic Ending Left,AB alppappap,"Neuron, ciliated ending in head, no supporting cells, associated with ILso",wormatlas_cook_2019_via_cect
BAGR,BAG-like Dendritic Ending Right,AB arappppap,"Neuron, ciliated ending in head, no supporting cells, associated with ILso",wormatlas_cook_2019_via_cect
BDUL,"Black Vesicles, Deirid Locale, Unknown Function Left",AB arppaappp,"Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles",wormatlas_cook_2019_via_cect
BDUR,"Black Vesicles, Deirid Locale, Unknown Function Right",AB arpppappp,"Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles",wormatlas_cook_2019_via_cect
BWM,,Unspecified body wall muscle,,wormatlas_cook_2019_via_cect
CA01,"C-type Neuron, Anterior Daughter after Division 1",P3.aapa,"Male specific cells, ventral cord, not constructed",wormatlas_cook_2019_via_cect
CA02,"C-type Neuron, Anterior Daughter after Division 2",P4.aapa,"Male specific cells, ventral cord, not constructed",wormatlas_cook_2019_via_cect
CA03,"C-type Neuron, Anterior Daughter after Division 3",P5.aapa,"Male specific cells, ventral cord, not constructed",wormatlas_cook_2019_via_cect
CA04,"C-type Neuron, Anterior Daughter after Division 4",P6.aapa,"Male specific neuron, ventral cord, innervates dorsal muscles",wormatlas_cook_2019_via_cect
CA05,"C-type Neuron, Anterior Daughter after Division 5",P7.aapa,"Male specific neuron, ventral cord, innervates dorsal muscles",wormatlas_cook_2019_via_cect
CA06,"C-type Neuron, Anterior Daughter after Division 6",P8.aapa,"Male specific neuron, ventral cord, innervates dorsal muscles",wormatlas_cook_2019_via_cect
CA07,"C-type Neuron, Anterior Daughter after Division 7",P9.aapa,"Male specific neuron, ventral cord, innervates dorsal muscles",wormatlas_cook_2019_via_cect
CA08,"C-type Neuron, Anterior Daughter after Division 8",P10.aapa,"Male specific cell, ventral cord, neuron-like but lacks synapses",wormatlas_cook_2019_via_cect
CA09,"C-type Neuron, Anterior Daughter after Division 9",P11.aapa,"Male specific cell, ventral cord, neuron-like but lacks synapses",wormatlas_cook_2019_via_cect
CANL,Excretory CANal-associated Neuron Left,AB alapaaapa,"Process runs along excretory canal, no synapses, essential for survival",wormatlas_cook_2019_via_cect
CANR,Excretory CANal-associated Neuron Right,AB alappappa,"Process runs along excretory canal, no synapses, essential for survival",wormatlas_cook_2019_via_cect
CEMDL,CEphalic Male Sensory Neuron Dorsal Left,AB plaaaaaap,"Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite",wormatlas_cook_2019_via_cect
CEMDR,CEphalic Male Sensory Neuron Dorsal Right,AB arpapaaap,"Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite",wormatlas_cook_2019_via_cect
CEMVL,CEphalic Male Sensory Neuron Ventral Left,AB plpaapapp,"Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite",wormatlas_cook_2019_via_cect
CEMVR,CEphalic Male Sensory Neuron Ventral Right,AB prpaapapp,"Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite",wormatlas_cook_2019_via_cect
CEPDL,CEPhalic Sensory Neuron Dorsal Left,AB plaaaaappa,"Cephalic neurons, contain dopamine",wormatlas_cook_2019_via_cect
CEPDR,CEPhalic Sensory Neuron Dorsal Right,AB arpapaappa,"Cephalic neurons, contain dopamine",wormatlas_cook_2019_via_cect
CEPVL,CEPhalic Sensory Neuron Ventral Left,AB plpaappppa,"Cephalic neurons, contain dopamine",wormatlas_cook_2019_via_cect
CEPVR,CEPhalic Sensory Neuron Ventral Right,AB prpaappppa,"Cephalic neurons, contain dopamine",wormatlas_cook_2019_via_cect
CEPshDL,,Sheath cell other than amphid sheath and phasmid,,wormatlas_cook_2019_via_cect
CEPshDR,,Sheath cell other than amphid sheath and phasmid,,wormatlas_cook_2019_via_cect
CEPshVL,,Sheath cell other than amphid sheath and phasmid,,wormatlas_cook_2019_via_cect
CEPshVR,,Sheath cell other than amphid sheath and phasmid,,wormatlas_cook_2019_via_cect
CP01,"C-type Neuron, Posterior Daughter after Division 1",P3.aapp,Male specific neuron in ventral cord,wormatlas_cook_2019_via_cect
CP02,"C-type Neuron, Posterior Daughter after Division 2",P4.aapp,Male specific neuron in ventral cord,wormatlas_cook_2019_via_cect
CP03,"C-type Neuron, Posterior Daughter after Division 3",P5.aapp,Male specific neuron in ventral cord,wormatlas_cook_2019_via_cect
CP04,"C-type Neuron, Posterior Daughter after Division 4",P6.aapp,Male specific motor neuron in ventral cord,wormatlas_cook_2019_via_cect
CP05,"C-type Neuron, Posterior Daughter after Division 5",P7.aapp,Male specific motor neuron in ventral cord,wormatlas_cook_2019_via_cect
CP06,"C-type Neuron, Posterior Daughter after Division 6",P8.aapp,Male specific motor neuron in ventral cord,wormatlas_cook_2019_via_cect
CP07,"C-type Neuron, Posterior Daughter after Division 7",P9.aapp,Male specific motor neuron in ventral cord,wormatlas_cook_2019_via_cect
CP08,"C-type Neuron, Posterior Daughter after Division 8",P10.aapp,"Male specific interneuron, projects into preanal ganglion",wormatlas_cook_2019_via_cect
CP09,"C-type Neuron, Posterior Daughter after Division 9",P11.aapp,"Male specific interneuron, projects into preanal ganglion",wormatlas_cook_2019_via_cect
DA1,Dorsal A-type Motor Neuron 1,AB prppapaap,"Ventral cord motor neurons, innervate dorsal muscles",wormatlas_cook_2019_via_cect
DA2,Dorsal A-type Motor Neuron 2,AB plppapapa,"Ventral cord motor neurons, innervate dorsal muscles",wormatlas_cook_2019_via_cect
DA3,Dorsal A-type Motor Neuron 3,AB prppapapa,"Ventral cord motor neurons, innervate dorsal muscles",wormatlas_cook_2019_via_cect
DA4,Dorsal A-type Motor Neuron 4,AB plppapapp,"Ventral cord motor neurons, innervate dorsal muscles",wormatlas_cook_2019_via_cect
DA5,Dorsal A-type Motor Neuron 5,AB prppapapp,"Ventral cord motor neurons, innervate dorsal muscles",wormatlas_cook_2019_via_cect
