id,category,category_source,source_labels
pm7D,muscle,wormatlas_cook_2019_via_cect,pm7D
pm7VL,muscle,wormatlas_cook_2019_via_cect,pm7VL
pm7VR,muscle,wormatlas_cook_2019_via_cect,pm7VR
pm8,muscle,wormatlas_cook_2019_via_cect,pm8
um1AL,muscle,wormatlas_cook_2019_via_cect,um1AL
um1AR,muscle,wormatlas_cook_2019_via_cect,um1AR
um1PL,muscle,wormatlas_cook_2019_via_cect,um1PL
um1PR,muscle,wormatlas_cook_2019_via_cect,um1PR
um2AL,muscle,wormatlas_cook_2019_via_cect,um2AL
um2AR,muscle,wormatlas_cook_2019_via_cect,um2AR
um2PL,muscle,wormatlas_cook_2019_via_cect,um2PL
um2PR,muscle,wormatlas_cook_2019_via_cect,um2PR
vm1AL,muscle,wormatlas_cook_2019_via_cect,vm1AL
vm1AR,muscle,wormatlas_cook_2019_via_cect,vm1AR
vm1PL,muscle,wormatlas_cook_2019_via_cect,vm1PL
vm1PR,muscle,wormatlas_cook_2019_via_cect,vm1PR
vm2AL,muscle,wormatlas_cook_2019_via_cect,vm2AL
vm2AR,muscle,wormatlas_cook_2019_via_cect,vm2AR
vm2PL,muscle,wormatlas_cook_2019_via_cect,vm2PL
vm2PR,muscle,wormatlas_cook_2019_via_cect,vm2PR
